,eliminado,mae,model,paredao,pred,pred_pct,rejeicao,repeticao,mean_absolute_error,correct
1055,petrix,0.3193875436412064,elastic_net,2.0,petrix,0.4057842433070899,0.8027,5.0,0.39691575669291007,True
1056,hadson,0.33383939477574925,elastic_net,3.0,hadson,0.32614634609796783,0.7970999999999999,5.0,0.4709536539020321,True
1057,lucas,0.24831628358123248,elastic_net,4.0,lucas,0.40686894979181837,0.6262,5.0,0.2193310502081816,True
1058,bianca_andrade,0.15805424292129125,elastic_net,5.0,felipe_prior,0.3565613526871328,0.5309,5.0,0.17433864731286725,False
1059,guilherme,0.1827781585161131,elastic_net,6.0,guilherme,0.42706090918811807,0.5607,5.0,0.1336390908118819,True
1060,victor_hugo,0.39290324500940565,elastic_net,7.0,babu,0.3312038430144397,0.8522,5.0,0.5209961569855602,False
1061,pyong,0.21427269991314782,elastic_net,8.0,pyong,0.4124196899036986,0.517,5.0,0.10458031009630142,True
1062,daniel,0.34232901425736834,elastic_net,9.0,daniel,0.4039690643510646,0.8081999999999999,5.0,0.4042309356489353,True
1063,felipe_prior,0.14362347990213267,elastic_net,10.0,felipe_prior,0.5225855987546022,0.5672999999999999,5.0,0.04471440124539772,True
1064,gabi,0.22087004746784353,elastic_net,11.0,thelma,0.34902511689132565,0.5961,5.0,0.24707488310867431,False
1065,marcela,0.22662370811490995,elastic_net,12.0,flayslene,0.38356045183490983,0.4976,5.0,0.11403954816509015,False
1066,flayslene,0.2617393151823169,elastic_net,13.0,flayslene,0.3740548627345806,0.63,5.0,0.2559451372654194,True
1067,gizelly_bicalho,0.18266476263316064,elastic_net,14.0,babu,0.43316344049751426,0.5478999999999999,5.0,0.11473655950248568,False
1068,ivy,0.311654572570858,elastic_net,15.0,rafa,0.3658344668805399,0.7417,5.0,0.37586553311946014,False
1069,mari,0.2636125336011704,elastic_net,16.0,babu,0.3484287579702184,0.5416,5.0,0.1931712420297816,False
1070,babu,0.16225680196079298,elastic_net,17.0,babu,0.37531971009490295,0.5715,5.0,0.19618028990509706,True
1071,lucas_chumbo,0.14883073877866684,sgd,1.0,lucas_chumbo,0.5207678691126383,0.7594,5.0,0.23863213088736168,True
1072,petrix,0.2284999999363826,sgd,2.0,petrix,0.47899022020199156,0.8027,5.0,0.3237097797980084,True
1073,hadson,0.2880401622483959,sgd,3.0,hadson,0.42510654418604055,0.7970999999999999,5.0,0.3719934558139594,True
1074,lucas,0.23610976166287478,sgd,4.0,lucas,0.5189516195748689,0.6262,5.0,0.10724838042513107,True
1075,bianca_andrade,0.146210588897117,sgd,5.0,felipe_prior,0.3736802836397658,0.5309,5.0,0.15721971636023424,False
1076,guilherme,0.17828541614767876,sgd,6.0,guilherme,0.6483805740947595,0.5607,5.0,0.08768057409475949,True
1077,victor_hugo,0.33133754230804285,sgd,7.0,victor_hugo,0.24735493751227022,0.8522,5.0,0.6048450624877297,True
1078,pyong,0.20832649950654195,sgd,8.0,pyong,0.6263219741305583,0.517,5.0,0.10932197413055833,True
1079,daniel,0.27323492953776785,sgd,9.0,daniel,0.5283069506893092,0.8081999999999999,5.0,0.2798930493106907,True
